stimuliId,partID,condition,obj,count_per_obj_per_part
21,5,non-restrictive,block,0
6,5,restrictive,animal,0
6,5,restrictive,cactus,0
6,5,restrictive,moon,0
6,5,restrictive,mountain,0
47,5,non-restrictive,violin,0
47,5,non-restrictive,bow,0
47,5,non-restrictive,gum,0
47,5,non-restrictive,stand,0
30,5,restrictive,comb,0
30,5,restrictive,eraser,0
30,5,restrictive,tissue,0
30,5,restrictive,newspaper,0
35,5,non-restrictive,radio,0
35,5,non-restrictive,puzzle,0
35,5,non-restrictive,notebook,0
35,5,non-restrictive,pillow,0
41,5,non-restrictive,toothbrish,0
41,5,non-restrictive,iron,0
41,5,non-restrictive,blouse,0
41,5,non-restrictive,pin,0
40,5,restrictive,buckle,0
40,5,restrictive,shoelace,0
40,5,restrictive,shampoo,0
40,5,restrictive,mat,0
5,5,non-restrictive,acorns,0
5,5,non-restrictive,shuttle-cock,0
5,5,non-restrictive,ball,0
5,5,non-restrictive,paper-plane,0
4,5,restrictive,rocking-horse,0
4,5,restrictive,baby,0
4,5,restrictive,plant,0
4,5,restrictive,stool,0
37,5,non-restrictive,boxes,36
37,5,non-restrictive,clips,8
37,5,non-restrictive,lego,0
37,5,non-restrictive,papers,0
45,5,non-restrictive,ladle,0
45,5,non-restrictive,hammer,0
45,5,non-restrictive,dough,0
45,5,non-restrictive,glass,0
32,5,restrictive,seed,0
32,5,restrictive,bottle,2
32,5,restrictive,lemon,0
32,5,restrictive,sponge,0
7,5,non-restrictive,mushrooms,0
7,5,non-restrictive,knife,0
7,5,non-restrictive,weighing-scales,0
7,5,non-restrictive,jug,0
33,5,non-restrictive,biscuit,0
33,5,non-restrictive,kettle,0
33,5,non-restrictive,beer,0
33,5,non-restrictive,mug,0
19,5,non-restrictive,football,0
