subject_nr,trial,condition,sentence_id,word_index,WordRole,word,start_s,end_s,window_ms,prop_pos1,prop_pos2,prop_pos3,prop_pos4,prop_target,prop_subject,no_object_gaze,n_samples
1,33,non-restrictive,32,1,nsubj,woman,0.189,0.525,336.0,0.0,1.0,0.0,0.0,0.0,0.0,False,16
1,33,non-restrictive,32,2,aux,will,0.63,0.756,126.0,0.0,0.0,0.0,0.0,0.0,0.0,True,6
1,33,non-restrictive,32,3,ROOT,carry,0.84,1.197,357.0,0.0,1.0,0.0,0.0,0.0,0.0,False,36
1,33,non-restrictive,32,4,det,the,1.323,1.386,63.0,0.0,0.0,0.0,0.0,0.0,0.0,True,9
1,33,non-restrictive,32,5,dobj,beer,1.512,2.772,1260.0,0.0,1.0,0.0,0.0,0.0,0.3,False,145
1,34,non-restrictive,28,0,det,The,0.021,0.063,42.0,0.0,1.0,0.0,0.0,0.0,0.0,False,2
1,34,non-restrictive,28,1,nsubj,cat,0.126,0.441,315.0,0.0,1.0,0.0,0.0,0.0,0.0,False,2
1,34,non-restrictive,28,2,aux,will,0.546,0.672,126.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
1,34,non-restrictive,28,3,ROOT,push,0.777,1.071,294.0,0.0,0.0,0.0,0.0,0.0,0.0,True,4
1,34,non-restrictive,28,4,det,the,1.176,1.239,63.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2
1,34,non-restrictive,28,5,dobj,milk,1.344,2.478,1134.0,0.0,1.0,0.0,0.0,0.0,0.266667,False,85
1,35,restrictive,23,0,det,The,0.021,0.063,42.0,0.0,1.0,0.0,0.0,0.0,0.0,False,5
1,35,restrictive,23,1,nsubj,girl,0.147,0.483,336.0,0.0,1.0,0.0,0.0,0.0,0.0,False,14
1,35,restrictive,23,2,aux,will,0.63,0.756,126.0,0.0,0.0,0.0,0.0,0.0,0.0,True,7
1,35,restrictive,23,3,ROOT,knit,0.84,1.029,189.0,0.0,0.0,0.0,0.0,0.0,0.0,True,4
1,35,restrictive,23,4,det,the,1.155,1.197,42.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1
1,35,restrictive,23,5,dobj,scarf,1.323,2.583,1260.0,0.0,0.210526,0.789474,0.0,0.0,0.254902,False,136
1,36,restrictive,29,0,det,The,0.021,0.063,42.0,0.0,0.0,0.0,0.0,0.0,0.0,True,3
1,36,restrictive,29,1,nsubj,grandmother,0.147,0.84,693.0,0.0,1.0,0.0,0.0,1.0,0.0,False,70
